,acc,loss,val_acc,val_loss
0,0.3131,1.8372822116088867,0.4611,1.4569321125030517
1,0.502200000038147,1.3625664694976807,0.5828,1.1524763809204102
2,0.58124,1.161765129470825,0.6338,1.0120664909362793
3,0.6364199999618531,1.025408678264618,0.6668,0.9361130744934082
4,0.6696200000190735,0.9322258250617981,0.7013,0.8448353248596191
5,0.694219999961853,0.8654564179992675,0.714,0.8099197991371154
6,0.712880000038147,0.8193926812744141,0.7375,0.7532110697746277
7,0.729639999961853,0.7703586112213134,0.7378,0.7604711950302124
8,0.741040000038147,0.7374171373176575,0.7506,0.7259651167869567
9,0.74904,0.7103624419593811,0.7461,0.7382833284378052
10,0.7653199999809265,0.673263639717102,0.7712,0.6612875551700592
11,0.7737,0.6503464418411254,0.7769,0.6467676788330078
12,0.7784799999809265,0.6350818172073365,0.7788,0.6393094239234924
13,0.7884399999809265,0.6080888412094116,0.7928,0.6094256031036377
14,0.7882999999618531,0.6036883777046204,0.7864,0.6204323335647584
15,0.7976200000381469,0.5801807508468628,0.7802,0.6340068689346313
16,0.8006599999809265,0.5705611008071899,0.8028,0.58542173204422
17,0.8031799999809265,0.5591478212356568,0.796,0.6029017966270447
18,0.8092399999809265,0.544790844078064,0.8026,0.5904460606575013
19,0.816079999961853,0.5245869405937195,0.8061,0.572914734172821
20,0.8167200000381469,0.5252300419712067,0.8071,0.5658148334503174
21,0.8198799999809265,0.5172996877288818,0.798,0.600336548757553
22,0.8227,0.5096684897422791,0.8094,0.5840014735221862
23,0.8267199999618531,0.5007424794483185,0.8069,0.5796725462913513
24,0.8284399999809265,0.49258318828582764,0.8129,0.5604098832607269
25,0.8308199999618531,0.4837905768203735,0.8147,0.5604190069198608
26,0.8344,0.4766470442867279,0.7975,0.6026084788322449
27,0.8369,0.468406381893158,0.8142,0.5638635198593139
28,0.840120000038147,0.4607186382102966,0.8039,0.5908134566307068
29,0.839379999961853,0.4597472231864929,0.8188,0.546692071056366
30,0.8407,0.4569032580661774,0.8193,0.5553053506851197
31,0.8424800000190735,0.4528665867424011,0.8168,0.5746736741065979
32,0.8448599999809265,0.44570454706192014,0.8078,0.5842413595199585
33,0.8461400000381469,0.43969872673034666,0.8175,0.5573040762901306
34,0.8476200000190734,0.43647875942230224,0.8187,0.5409896712303162
35,0.8492200000190735,0.43227731179237366,0.8188,0.5551225214958191
36,0.8504400000190735,0.4292554145622253,0.8065,0.5964950448513031
37,0.8526000000190734,0.42488339933395386,0.8235,0.545495902633667
38,0.854500000038147,0.4157112292289734,0.8158,0.5843997364997864
39,0.8550399999809265,0.4176190234565735,0.8221,0.5456556832313537
40,0.8552799999809265,0.4085778705787659,0.8151,0.5866129494667053
41,0.8571200000381469,0.4048499551296234,0.821,0.566641910147667
42,0.8593399999618531,0.4005331138515472,0.8228,0.5589001508712769
43,0.8585200000190735,0.4013821804523468,0.8227,0.5501989550590515
44,0.86238,0.3943447820186615,0.8237,0.5553585967540741
45,0.8613000000190735,0.39548039175033567,0.8166,0.5692636940956116
46,0.862299999961853,0.39099126260757444,0.8223,0.5553628910064697
47,0.8644399999618531,0.3868628876209259,0.8177,0.5833664672851563
48,0.8640199999809265,0.39060758335113527,0.8202,0.5739140849590302
49,0.864720000038147,0.38466659669876097,0.8248,0.5577292633056641
